publish_date,neg,neu,pos,compound,sentiment
2002-05-25,0.137,0.785,0.078,-0.9975,negative
2002-05-26,0.085,0.854,0.061,-0.9851,negative
2002-05-27,0.102,0.839,0.059,-0.9973,negative
2002-05-28,0.127,0.795,0.078,-0.9977,negative
2002-05-29,0.143,0.759,0.097,-0.9985,negative
2002-05-30,0.14,0.786,0.075,-0.9991,negative
2002-05-31,0.131,0.794,0.075,-0.9983,negative
2002-06-01,0.148,0.76,0.092,-0.9987,negative
2002-06-02,0.145,0.777,0.078,-0.9982,negative
2002-06-03,0.132,0.793,0.074,-0.9982,negative
2002-06-04,0.127,0.82,0.053,-0.9981,negative
2002-06-05,0.128,0.786,0.086,-0.9958,negative
2002-06-06,0.095,0.827,0.079,-0.9905,negative
2002-06-07,0.093,0.833,0.073,-0.9848,negative
2002-06-08,0.095,0.808,0.096,-0.8343,negative
2002-06-09,0.149,0.77,0.081,-0.9986,negative
2002-06-10,0.155,0.768,0.077,-0.9993,negative
2002-06-11,0.15,0.77,0.079,-0.999,negative
2002-06-12,0.148,0.762,0.09,-0.9989,negative
2002-06-13,0.122,0.791,0.087,-0.9942,negative
2002-06-14,0.116,0.779,0.105,-0.9558,negative
2002-06-15,0.164,0.758,0.079,-0.9992,negative
2002-06-16,0.142,0.794,0.064,-0.9983,negative
2002-06-17,0.106,0.828,0.066,-0.9947,negative
2002-06-18,0.13,0.78,0.09,-0.9977,negative
2002-06-19,0.135,0.777,0.088,-0.9979,negative
2002-06-20,0.124,0.801,0.075,-0.9974,negative
2002-06-21,0.11,0.823,0.066,-0.9955,negative
2002-06-22,0.127,0.76,0.113,-0.9841,negative
2002-06-23,0.127,0.808,0.065,-0.9971,negative
2002-06-24,0.082,0.825,0.093,0.9253,positive
2002-06-25,0.17,0.77,0.061,-0.9996,negative
2002-06-26,0.121,0.815,0.064,-0.9968,negative
